stusps,state,hud_area_code,countyname,county_town_name,metro,hud_area_name,fips,pop2020,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
AL,AL,METRO33860M33860,Autauga County,,1,"Montgomery, AL MSA",100199999,55639,836.0,913.0,1092.0,1383.0,1753.0
AL,AL,METRO19300M19300,Baldwin County,,1,"Daphne-Fairhope-Foley, AL MSA",100399999,218289,1051.0,1056.0,1362.0,1670.0,2114.0
AL,AL,NCNTY01005N01005,Barbour County,,0,"Barbour County, AL",100599999,25026,652.0,656.0,857.0,1089.0,1141.0
AL,AL,METRO13820M13820,Bibb County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",100799999,22374,983.0,1109.0,1245.0,1570.0,1752.0
AL,AL,METRO13820M13820,Blount County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",100999999,57755,983.0,1109.0,1245.0,1570.0,1752.0
AL,AL,NCNTY01011N01011,Bullock County,,0,"Bullock County, AL",101199999,10173,642.0,666.0,857.0,1130.0,1283.0
AL,AL,NCNTY01013N01013,Butler County,,0,"Butler County, AL",101399999,19726,665.0,760.0,888.0,1074.0,1186.0
AL,AL,METRO11500M11500,Calhoun County,,1,"Anniston-Oxford-Jacksonville, AL MSA",101599999,114324,683.0,687.0,903.0,1243.0,1319.0
AL,AL,NCNTY01017N01017,Chambers County,,0,"Chambers County, AL",101799999,33427,814.0,820.0,1077.0,1302.0,1434.0
AL,AL,NCNTY01019N01019,Cherokee County,,0,"Cherokee County, AL",101999999,26035,664.0,726.0,887.0,1072.0,1327.0
AL,AL,METRO13820N01021,Chilton County,,1,"Chilton County, AL HUD Metro FMR Area",102199999,44147,682.0,690.0,857.0,1164.0,1168.0
AL,AL,NCNTY01023N01023,Choctaw County,,0,"Choctaw County, AL",102399999,12755,642.0,666.0,857.0,1102.0,1454.0
AL,AL,NCNTY01025N01025,Clarke County,,0,"Clarke County, AL",102599999,23866,642.0,666.0,857.0,1200.0,1454.0
AL,AL,NCNTY01027N01027,Clay County,,0,"Clay County, AL",102799999,13285,620.0,700.0,857.0,1175.0,1258.0
