stusps,state,hud_area_code,countyname,county_town_name,metro,hud_area_name,fips,pop2020,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
AL,01,METRO33860M33860,Autauga County,,1,"Montgomery, AL MSA",0100199999,55639,836,913,1092,1383,1753
AL,01,METRO19300M19300,Baldwin County,,1,"Daphne-Fairhope-Foley, AL MSA",0100399999,218289,1051,1056,1362,1670,2114
AL,01,NCNTY01005N01005,Barbour County,,0,"Barbour County, AL",0100599999,25026,652,656,857,1089,1141
AL,01,METRO13820M13820,Bibb County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,22374,983,1109,1245,1570,1752
AL,01,METRO13820M13820,Blount County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,57755,983,1109,1245,1570,1752
AL,01,NCNTY01011N01011,Bullock County,,0,"Bullock County, AL",0101199999,10173,642,666,857,1130,1283
AL,01,NCNTY01013N01013,Butler County,,0,"Butler County, AL",0101399999,19726,665,760,888,1074,1186
AL,01,METRO11500M11500,Calhoun County,,1,"Anniston-Oxford-Jacksonville, AL MSA",0101599999,114324,683,687,903,1243,1319
AL,01,NCNTY01017N01017,Chambers County,,0,"Chambers County, AL",0101799999,33427,814,820,1077,1302,1434
AL,01,NCNTY01019N01019,Cherokee County,,0,"Cherokee County, AL",0101999999,26035,664,726,887,1072,1327
AL,01,METRO13820N01021,Chilton County,,1,"Chilton County, AL HUD Metro FMR Area",0102199999,44147,682,690,857,1164,1168
AL,01,NCNTY01023N01023,Choctaw County,,0,"Choctaw County, AL",0102399999,12755,642,666,857,1102,1454
AL,01,NCNTY01025N01025,Clarke County,,0,"Clarke County, AL",0102599999,23866,642,666,857,1200,1454
AL,01,NCNTY01027N01027,Clay County,,0,"Clay County, AL",0102799999,13285,620,700,857,1175,1258
AL,01,NCNTY01029N01029,Cleburne County,,0,"Cleburne County, AL",0102999999,14952,669,694,894,1129,1338
AL,01,NCNTY01031N01031,Coffee County,,0,"Coffee County, AL",0103199999,52238,713,725,952,1342,1472
AL,01,METRO22520M22520,Colbert County,,1,"Florence-Muscle Shoals, AL MSA",0103399999,54957,664,720,940,1157,1425
AL,01,NCNTY01035N01035,Conecuh County,,0,"Conecuh County, AL",0103599999,12219,642,666,857,1208,1283
AL,01,NCNTY01037N01037,Coosa County,,0,"Coosa County, AL",0103799999,10696,658,683,879,1063,1315
AL,01,NCNTY01039N01039,Covington County,,0,"Covington County, AL",0103999999,37096,648,652,857,1133,1427
AL,01,NCNTY01041N01041,Crenshaw County,,0,"Crenshaw County, AL",0104199999,13826,642,652,857,1036,1141
AL,01,NCNTY01043N01043,Cullman County,,0,"Cullman County, AL",0104399999,83345,767,772,1002,1306,1462
AL,01,NCNTY01045N01045,Dale County,,0,"Dale County, AL",0104599999,49293,743,754,857,1208,1454
AL,01,NCNTY01047N01047,Dallas County,,0,"Dallas County, AL",0104799999,38184,653,694,912,1129,1215
AL,01,NCNTY01049N01049,DeKalb County,,0,"DeKalb County, AL",0104999999,71430,642,652,857,1159,1391
AL,01,METRO33860M33860,Elmore County,,1,"Montgomery, AL MSA",0105199999,81526,836,913,1092,1383,1753
AL,01,NCNTY01053N01053,Escambia County,,0,"Escambia County, AL",0105399999,36775,642,705,857,1094,1275
AL,01,METRO23460M23460,Etowah County,,1,"Gadsden, AL MSA",0105599999,102721,637,817,940,1170,1252
AL,01,NCNTY01057N01057,Fayette County,,0,"Fayette County, AL",0105799999,16406,642,763,857,1147,1283
AL,01,NCNTY01059N01059,Franklin County,,0,"Franklin County, AL",0105999999,31587,642,763,857,1042,1321
AL,01,METRO20020M20020,Geneva County,,1,"Dothan, AL HUD Metro FMR Area",0106199999,26383,735,739,904,1220,1386
AL,01,METRO46220M01063,Greene County,,1,"Greene County, AL HUD Metro FMR Area",0106399999,8221,736,741,974,1178,1297
AL,01,METRO46220M46220,Hale County,,1,"Tuscaloosa, AL HUD Metro FMR Area",0106599999,14754,903,909,1125,1415,1498
AL,01,METRO20020N01067,Henry County,,1,"Henry County, AL HUD Metro FMR Area",0106799999,17123,648,652,857,1093,1144
AL,01,METRO20020M20020,Houston County,,1,"Dothan, AL HUD Metro FMR Area",0106999999,105319,735,739,904,1220,1386
AL,01,NCNTY01071N01071,Jackson County,,0,"Jackson County, AL",0107199999,51765,642,748,857,1051,1406
AL,01,METRO13820M13820,Jefferson County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",0107399999,658615,983,1109,1245,1570,1752
AL,01,NCNTY01075N01075,Lamar County,,0,"Lamar County, AL",0107599999,13854,716,720,857,1208,1283
AL,01,METRO22520M22520,Lauderdale County,,1,"Florence-Muscle Shoals, AL MSA",0107799999,92870,664,720,940,1157,1425
AL,01,METRO19460M19460,Lawrence County,,1,"Decatur, AL MSA",0107999999,32969,740,763,924,1202,1352
AL,01,METRO12220M12220,Lee County,,1,"Auburn-Opelika, AL MSA",0108199999,163461,801,901,1099,1487,1617
AL,01,METRO26620M26620,Limestone County,,1,"Huntsville, AL MSA",0108399999,96921,900,1067,1248,1619,1937
AL,01,METRO33860M33860,Lowndes County,,1,"Montgomery, AL MSA",0108599999,9936,836,913,1092,1383,1753
AL,01,NCNTY01087N01087,Macon County,,0,"Macon County, AL",0108799999,18437,672,683,898,1110,1524
AL,01,METRO26620M26620,Madison County,,1,"Huntsville, AL MSA",0108999999,367686,900,1067,1248,1619,1937
AL,01,NCNTY01091N01091,Marengo County,,0,"Marengo County, AL",0109199999,19138,642,763,857,1086,1316
AL,01,NCNTY01093N01093,Marion County,,0,"Marion County, AL",0109399999,29818,581,652,857,1091,1454
AL,01,NCNTY01095N01095,Marshall County,,0,"Marshall County, AL",0109599999,96137,655,659,866,1166,1170
AL,01,METRO33660M33660,Mobile County,,1,"Mobile, AL HUD Metro FMR Area",0109799999,413977,810,890,1094,1448,1484
AL,01,NCNTY01099N01099,Monroe County,,0,"Monroe County, AL",0109999999,21006,642,763,857,1208,1236
AL,01,METRO33860M33860,Montgomery County,,1,"Montgomery, AL MSA",0110199999,226451,836,913,1092,1383,1753
AL,01,METRO19460M19460,Morgan County,,1,"Decatur, AL MSA",0110399999,119352,740,763,924,1202,1352
AL,01,NCNTY01105N01105,Perry County,,0,"Perry County, AL",0110599999,9104,647,671,864,1136,1293
AL,01,METRO46220N01107,Pickens County,,1,"Pickens County, AL HUD Metro FMR Area",0110799999,20049,683,687,857,1178,1448
AL,01,NCNTY01109N01109,Pike County,,0,"Pike County, AL",0110999999,33274,825,839,1102,1332,1468
AL,01,NCNTY01111N01111,Randolph County,,0,"Randolph County, AL",0111199999,22732,642,763,857,1208,1283
AL,01,METRO17980M17980,Russell County,,1,"Columbus, GA-AL HUD Metro FMR Area",0111399999,57938,828,881,1031,1372,1743
