fips,county,state,total_population,median_household_income,poverty_count,edu_pct,hud_pop2020,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
20139,Osage,KS,15787,66155.0,1726,0.13840501678596315,3389,957.0,1210.0,1358.0,1642.0,2077.0
20169,Saline,KS,54160,59887.0,6293,0.19146971935007384,5708,1349.0,1515.0,1991.0,2407.0,3044.0
20209,Wyandotte,KS,167989,57771.0,27937,0.12719880468364,292090,996.0,1107.0,1454.0,2049.0,2467.0
21009,Barren,KY,44511,48141.0,9187,0.12095886410100874,2547,1036.0,1128.0,1470.0,1923.0,2248.0
21059,Daviess,KY,102916,64021.0,13990,0.1709452368922228,2135,936.0,1018.0,1329.0,1607.0,1770.0
21109,Jackson,KY,13002,38516.0,2905,0.077834179357022,32099,1138.0,1307.0,1679.0,2291.0,2299.0
21229,Washington,KY,12025,65456.0,1657,0.13812889812889814,58809,984.0,990.0,1301.0,1833.0,2090.0
40019,Carter,OK,48202,56390.0,7257,0.1305754947927472,71714,716.0,804.0,1057.0,1417.0,1461.0
40039,Custer,OK,28391,58669.0,4290,0.18220562854425698,126442,770.0,913.0,1067.0,1504.0,1811.0
40059,Harper,OK,3272,59934.0,443,0.1573960880195599,142254,1448.0,1537.0,1863.0,2253.0,2633.0
40079,Le Flore,OK,48525,46750.0,9567,0.10182380216383308,53846,855.0,960.0,1262.0,1778.0,1846.0
40099,Murray,OK,13837,60213.0,1949,0.12054636120546361,38304,928.0,933.0,1157.0,1611.0,1963.0
40119,Payne,OK,82058,46658.0,17559,0.20787735504155597,9465,742.0,974.0,1094.0,1323.0,1457.0
40129,Roger Mills,OK,3423,57574.0,461,0.15366637452527024,21035,801.0,900.0,1182.0,1666.0,2006.0
40139,Texas,OK,21144,55682.0,4234,0.1506810442678774,4412779,1460.0,1599.0,1877.0,2541.0,2890.0
50019,Orleans,VT,27459,63981.0,2610,0.20281146436505335,17761,581.0,652.0,857.0,1050.0,1348.0
51019,Bedford,VA,79761,74773.0,7161,0.23714597359611841,7753,604.0,725.0,814.0,984.0,1381.0
51059,Fairfax,VA,1145354,145165.0,67901,0.43798598511901127,10342,944.0,950.0,1089.0,1454.0,1717.0
51079,Greene,VA,20631,81338.0,2273,0.19349522563133148,18151,604.0,622.0,814.0,1147.0,1381.0
51099,King George,VA,26985,103264.0,1846,0.2322401334074486,10714,604.0,641.0,814.0,1063.0,1174.0
51119,Middlesex,VA,10738,69389.0,990,0.23095548519277334,23747,615.0,620.0,814.0,1080.0,1084.0
51139,Page,VA,23753,56760.0,2361,0.10743906032922157,19999,584.0,662.0,861.0,1041.0,1152.0
51159,Richmond,VA,8968,62708.0,556,0.13481266726137378,63926,581.0,663.0,857.0,1208.0,1225.0
51179,Stafford,VA,157606,128036.0,8268,0.2774894356813827,8138,631.0,648.0,851.0,1029.0,1200.0
51199,York,VA,70238,105154.0,3262,0.3342065548563456,393078,944.0,950.0,1089.0,1454.0,1717.0
10001,Kent,DE,182400,69278.0,21850,0.17695723684210526,179124,1110.0,1117.0,1368.0,1928.0,2152.0
10003,New Castle,DE,570567,85309.0,58355,0.26525368624543655,558306,1303.0,1451.0,1737.0,2100.0,2422.0
10005,Sussex,DE,240668,75406.0,27585,0.23989479282663254,230249,909.0,988.0,1298.0,1656.0,2037.0
11001,District of Columbia,,670587,101722.0,98039,0.4526362724001509,701974,1772.0,1803.0,2045.0,2544.0,3015.0
12001,Alachua,FL,279729,57566.0,53070,0.28261638943405937,268105,1053.0,1162.0,1397.0,1832.0,1861.0
12003,Baker,FL,27969,67872.0,3398,0.09510529514819979,28679,802.0,807.0,1061.0,1400.0,1801.0
12005,Bay,FL,181055,65999.0,21755,0.19036204468255502,180076,1269.0,1297.0,1523.0,2065.0,2585.0
12007,Bradford,FL,27816,54759.0,4352,0.09537676157607132,27723,785.0,806.0,905.0,1244.0,1536.0
12009,Brevard,FL,610723,71308.0,60927,0.24540258022049277,594001,1034.0,1214.0,1434.0,1938.0,2263.0
12011,Broward,FL,1940907,70331.0,238880,0.24897792629940538,1942273,1573.0,1692.0,2102.0,2916.0,3567.0
12013,Calhoun,FL,13753,41526.0,2374,0.08085508616301898,14324,785.0,806.0,905.0,1260.0,1265.0
12015,Charlotte,FL,189900,62164.0,19490,0.20874144286466562,185926,1089.0,1121.0,1380.0,1945.0,2306.0
12017,Citrus,FL,155173,52569.0,22833,0.15703118454885837,147938,848.0,853.0,1116.0,1554.0,1894.0
12019,Clay,FL,219650,82242.0,20352,0.19062144320509902,215294,1240.0,1354.0,1604.0,2027.0,2579.0
12021,Collier,FL,380221,82011.0,39131,0.2972218788546661,379345,1328.0,1493.0,1782.0,2375.0,2497.0
12023,Columbia,FL,69832,53501.0,10196,0.1113672814755413,70898,788.0,793.0,1042.0,1268.0,1388.0
12027,DeSoto,FL,34258,45000.0,8601,0.08465176017280635,37371,785.0,800.0,905.0,1201.0,1205.0
12029,Dixie,FL,16737,45057.0,2445,0.05968811614984764,16740,697.0,702.0,905.0,1097.0,1265.0
12031,Duval,FL,995708,65579.0,139341,0.22122248691383417,948651,1240.0,1354.0,1604.0,2027.0,2579.0
12033,Escambia,FL,321296,61642.0,44874,0.1906559683282705,316691,1048.0,1098.0,1278.0,1747.0,2167.0
12035,Flagler,FL,117515,69251.0,11382,0.21927413521678082,112854,1152.0,1159.0,1465.0,1977.0,2337.0
12037,Franklin,FL,12276,58107.0,2325,0.1656076898012382,11914,792.0,814.0,914.0,1273.0,1277.0
12039,Gadsden,FL,43746,45721.0,10460,0.13742970785900424,45787,1062.0,1183.0,1339.0,1708.0,1903.0
12041,Gilchrist,FL,18070,56823.0,2115,0.10442722744881018,18245,1053.0,1162.0,1397.0,1832.0,1861.0
12043,Glades,FL,12179,37221.0,2382,0.10197881599474505,13777,857.0,862.0,1002.0,1220.0,1400.0
12045,Gulf,FL,15002,56250.0,1522,0.1693774163444874,15073,1016.0,1023.0,1344.0,1625.0,1790.0
12047,Hamilton,FL,13492,47668.0,2822,0.06826267417729025,14397,684.0,689.0,905.0,1260.0,1265.0
12049,Hardee,FL,25528,44665.0,6731,0.06729865246004388,27027,718.0,723.0,950.0,1235.0,1327.0
12051,Hendry,FL,39902,49259.0,8729,0.06726479875695454,41472,761.0,766.0,905.0,1253.0,1512.0
12053,Hernando,FL,196621,59202.0,24134,0.1498212296753653,190700,1449.0,1562.0,1851.0,2367.0,2888.0
12055,Highlands,FL,102339,53679.0,15742,0.1413048788829283,104574,757.0,850.0,1117.0,1391.0,1831.0
12057,Hillsborough,FL,1468560,70612.0,197369,0.24925913820341014,1451358,1449.0,1562.0,1851.0,2367.0,2888.0
12059,Holmes,FL,19529,46063.0,2949,0.0795739669209893,19530,785.0,793.0,905.0,1201.0,1205.0
12061,Indian River,FL,160986,67543.0,18221,0.2560098393649137,156964,991.0,1195.0,1462.0,1844.0,2481.0
12063,Jackson,FL,47704,46144.0,7787,0.10139610934093576,47409,707.0,712.0,905.0,1166.0,1205.0
12065,Jefferson,FL,14458,51573.0,2414,0.14628579333241112,14278,1062.0,1183.0,1339.0,1708.0,1903.0
12067,Lafayette,FL,8107,57852.0,1306,0.05846799062538547,8576,815.0,819.0,953.0,1152.0,1332.0
12069,Lake,FL,386829,66239.0,36977,0.19057516370282476,356115,1558.0,1638.0,1857.0,2362.0,2849.0
12071,Lee,FL,772902,69368.0,89142,0.22734706340519237,756570,1329.0,1331.0,1677.0,2198.0,2499.0
12073,Leon,FL,294128,61317.0,53940,0.2828190447696241,291863,1062.0,1183.0,1339.0,1708.0,1903.0
12075,Levy,FL,43268,49933.0,6718,0.11837847832116113,40979,673.0,715.0,905.0,1203.0,1416.0
12077,Liberty,FL,7704,51723.0,1375,0.12058670820353064,8333,774.0,778.0,905.0,1120.0,1536.0
12079,Madison,FL,17986,43386.0,3611,0.09874346714110975,18557,736.0,778.0,905.0,1156.0,1481.0
12081,Manatee,FL,405069,71385.0,40670,0.24846631067793387,393847,1230.0,1502.0,1815.0,2416.0,2875.0
12083,Marion,FL,378225,55265.0,52923,0.1638945072377553,360210,949.0,1043.0,1266.0,1619.0,1768.0
12085,Martin,FL,159399,77894.0,16391,0.2727118739766247,160420,1278.0,1286.0,1573.0,2175.0,2433.0
12086,Miami-Dade,FL,2688237,64215.0,403997,0.23224514802824306,2705528,1683.0,1884.0,2324.0,3027.0,3589.0
12087,Monroe,FL,82044,80111.0,9480,0.28450587489639706,75137,1556.0,1730.0,2139.0,2812.0,3426.0
12089,Nassau,FL,91538,84085.0,8343,0.23718018746313008,85762,1240.0,1354.0,1604.0,2027.0,2579.0
